Date,Open,High,Low,Close,Volume
2019-01-02,190.23295443802053,190.23295443802053,183.93384998643046,184.35379028320312,32900482
2019-01-03,179.7344569938642,183.09397955449717,179.7344569938642,180.99427795410156,34087620
2019-01-04,177.6347264143137,177.6347264143137,173.43532389860889,174.6951446533203,65943521
2019-01-07,178.05465082159625,179.73441167840375,177.21477039319248,178.89453125,35442176
2019-01-08,178.05469386385516,178.4746341795718,176.37493260098861,177.21481323242188,22694481
2019-01-09,178.05469571354772,181.8341585942598,177.21481507338947,180.99427795410156,46295446
2019-01-10,181.41419982910156,181.83414010648374,180.15437899695502,181.41419982910156,20754593
2019-01-11,183.9337982385337,185.19361877441406,183.09391788128013,185.19361877441406,28102288
2019-01-14,183.51388549804688,184.77370622228977,182.254064773804,183.51388549804688,17612296
2019-01-15,181.8341392068302,185.6136016845703,180.99425865622126,185.6136016845703,38882923
2019-01-16,183.5138764129288,184.77369707480244,182.6739959716797,182.6739959716797,28978282
2019-01-17,183.09391788128013,185.61355895304087,183.09391788128013,185.19361877441406,21163986
2019-01-18,183.93382573946118,184.77370622228977,182.67400501521828,183.51388549804688,49627569
2019-01-21,184.7737211339614,187.29336278578813,184.7737211339614,185.6136016845703,29384866
2019-01-22,184.77370873694997,187.29335021972656,183.9338282426911,187.29335021972656,28926483
2019-01-23,186.03349913166764,186.45343931029444,184.7736785957873,185.19361877441406,16671213
2019-01-24,186.8734130859375,186.8734130859375,185.19365206943468,186.8734130859375,26417924
2019-01-25,190.23289793571539,190.65283810775892,188.97307741958483,189.81295776367188,46692764
2019-01-28,192.75256657496288,192.75256657496288,191.49274587839452,192.33262634277344,26026257
2019-01-29,186.8734130859375,188.97311435656601,186.45347283181178,186.8734130859375,41122520
2019-01-30,185.19366140926584,186.03354195987475,184.7737211339614,185.6136016845703,44755945
2019-02-11,191.4927520751953,192.33263256675318,190.2329313378585,191.4927520751953,78307106
2019-02-12,193.17250061035156,193.17250061035156,192.33262017291526,193.17250061035156,29406670
2019-02-13,194.8522677359102,194.8522677359102,191.91268611058396,192.33262634277344,28634925
2019-02-14,192.75256367822053,193.172503904099,189.81298209707117,190.65286254882812,23647751
2019-02-15,192.33262345234203,192.33262345234203,190.23292232294966,190.65286254882812,22369799
2019-02-18,192.33262017291526,193.59244082906972,191.9126799541971,193.17250061035156,16978916
2019-02-19,193.17250680715236,193.5924470393418,192.33262634277344,192.33262634277344,16577023
2019-02-20,194.43230892091924,196.9519500732422,194.01236872886543,196.9519500732422,30479710
2019-02-21,197.79183347028606,198.6317138671875,196.95195307338463,198.6317138671875,33764489
2019-02-22,197.79183347028606,198.6317138671875,196.5320128749339,198.6317138671875,22032163
2019-02-25,199.47160031615184,200.73142094972755,198.21177968257615,199.89154052734375,24105138
2019-02-26,200.7313965098594,201.57127682998433,198.63169570954707,201.15133666992188,24522789
2019-02-27,200.31152027720685,201.15140086537124,199.05169939496028,200.73146057128906,35240889
2019-03-04,201.1513768092842,201.1513768092842,196.951974370677,197.79185485839844,39655513
2019-03-05,196.53198844680458,196.95192859305845,195.27216800804302,195.69210815429688,22641407
2019-03-06,197.37186268863516,197.79180282201523,196.11204228849493,196.531982421875,20433226
2019-03-07,197.37186268863516,197.37186268863516,195.69210215511487,196.531982421875,17126192
2019-03-08,194.01238104778787,194.43232126650602,192.33262017291526,193.17250061035156,22190659
2019-03-11,191.49273668400895,193.59243774414062,191.0727964719826,193.59243774414062,23200793
2019-03-12,195.69215363909484,199.0516755899806,195.27221339523413,197.79185485839844,23588085
2019-03-13,196.53199478342563,199.0516357421875,196.53199478342563,199.0516357421875,20500195
2019-03-14,200.73141180172658,200.73141180172658,196.53200988118834,196.9519500732422,17175356
2019-03-15,199.05169939496028,201.15140086537124,197.7918785127137,200.73146057128906,33649729
2019-03-18,201.1513579752435,202.4111785888672,200.7314177707023,202.4111785888672,26856532
2019-03-19,200.73140565868226,201.99122619628906,199.89152530027775,201.99122619628906,14479009
2019-03-20,203.25108337402344,203.25108337402344,201.1513820994984,203.25108337402344,22975971
2019-03-21,203.67103219275077,206.190673828125,202.41121137506366,206.190673828125,26179502
2019-03-22,208.29035639618965,208.71029663085938,205.35077475350147,208.71029663085938,22931467
2019-03-25,201.9912657175005,204.51090728570216,201.9912657175005,202.83114624023438,19211254
2019-03-26,204.09096664678856,204.93084716796875,202.41120560442818,204.93084716796875,19920170
2019-03-27,203.25108650160132,203.67102676296827,201.9912657175005,202.83114624023438,22590089
2019-03-28,201.9912626093084,203.67102362892842,201.5713223544034,203.25108337402344,13933054
2019-03-29,204.09097246531314,206.190673828125,201.99127110250126,206.190673828125,28220810
2019-04-01,210.8100168263111,210.8100168263111,205.77073355556263,206.190673828125,35330656
2019-04-02,209.550161873422,209.550161873422,206.61058044433594,206.61058044433594,24105053
2019-04-03,209.13024939484816,209.13024939484816,207.03054809570312,207.03054809570312,24945323
2019-04-08,210.81000039323044,212.48976135253906,210.39006015340328,212.48976135253906,45184821
2019-04-09,212.489770363635,213.32965087890625,211.6498898483637,213.32965087890625,22355674
2019-04-10,212.489770363635,213.7495911365419,211.6498898483637,213.32965087890625,25849934
2019-04-11,212.48975226992653,213.32963271368118,211.22993160429456,211.64987182617188,24896840
2019-04-12,211.22993160429456,212.48975226992653,210.80999138241722,211.64987182617188,13548148
2019-04-15,214.16949158312056,215.00937194227006,213.32961122397109,214.5894317626953,17192002
2019-04-16,215.8492431640625,215.8492431640625,214.58942267866914,215.8492431640625,19652648
2019-04-17,218.36888738161747,220.8885283898669,217.9489472135759,219.6287078857422,37864191
2019-04-18,221.72840578479443,223.40816643467923,221.30846562232324,222.14834594726562,38006795
2019-04-19,225.92780740950644,226.34774757197766,221.30846562232324,222.14834594726562,44658699
2019-04-22,223.82811278149597,224.66799312964417,222.56829225927368,223.40817260742188,24967393
2019-04-23,223.82810068842193,225.08792114257812,223.4081605370365,225.08792114257812,25336847
2019-04-24,226.76773695254414,226.76773695254414,224.66803568446502,225.9278564453125,26449755
2019-04-25,225.50789495450314,225.9278351685711,224.2480743122992,224.6680145263672,32386724
2019-04-26,220.04868797889122,220.88856846736027,216.26922578078052,218.36892700195312,47518804
2019-04-29,218.3688995420129,220.0486603077207,217.10907896773205,217.94895935058594,31126618
2019-04-30,218.36893324686295,218.7888735031069,216.68917222188708,217.529052734375,33799419
2019-05-02,219.62875401559484,220.4686345280828,217.10911247813104,217.529052734375,27091394
2019-05-03,220.04870248470667,222.56834411621094,218.78888166895453,222.56834411621094,29840246
2019-05-06,218.36893324686295,218.36893324686295,216.68917222188708,217.529052734375,32823187
2019-05-07,217.94900155203683,220.88858346121654,217.52906127929688,220.46864318847656,25686126
2019-05-08,218.36892700195312,219.6287477346567,217.94898675771861,218.36892700195312,25542364
2019-05-09,217.9489624737299,217.9489624737299,215.00938109161794,215.4293212890625,33587574
2019-05-10,215.84927988052368,217.52904081344604,214.16951894760132,215.0093994140625,18617212
2019-05-13,212.48976162664903,213.32964210738677,209.55017994406694,210.3900604248047,28284535
2019-05-14,207.8704161615199,210.80999780420805,205.77071498817122,208.71029663085938,45055708
2019-05-15,210.80996391572148,211.64984425004707,209.1302032470703,209.1302032470703,36825479
2019-05-16,208.7103059899952,209.55018649699718,206.6106047224902,207.4504852294922,29713519
2019-05-17,209.13025016073857,209.13025016073857,202.83114624023438,202.83114624023438,38647856
2019-05-20,203.67100242807084,204.09094263926272,199.89154052734375,199.89154052734375,39157661
2019-05-21,196.11204228849493,198.2117429553953,195.27216202173477,196.531982421875,80042775
2019-05-22,198.63171989376804,201.99124158330324,197.79183947138424,199.89154052734375,34622034
2019-05-23,196.11208214137864,196.11208214137864,193.17250061035156,193.17250061035156,58752627
2019-05-24,193.17246727677374,196.53198844680458,193.17246727677374,195.69210815429688,36000789
2019-05-27,196.53203156706576,197.37191204384808,194.01239013671875,194.01239013671875,35562033
2019-05-28,194.85225838021964,194.85225838021964,193.59243774414062,193.59243774414062,95240033
2019-05-29,191.4927579593035,193.59245925271694,190.65287744193816,192.75257873535156,26533236
