id,trading_date,day_count,daily_mean_score,positive_count,neutral_count,negative_count,positive_score_sum,neutral_score_sum,negative_score_sum,sum_count,positive_count/sum_count,positive_score_sum/day_count/positive_count,neutral_count/sum_count,neutral_score_sum/day_count/neutral_count,negative_count/sum_count,negative_score_sum/day_count/negative_count,score_gpt35,buzz_gpt35,Open,High,Low,Close,Volume,ret_next,target
2330,2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.23295443802053,190.23295443802053,183.93384998643046,184.35379028320312,32900482,-0.01822351121231003,0
2330,2019-01-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.73439638354662,183.09391781127647,179.73439638354662,180.9942169189453,34087620,-0.03480261619875913,0
2330,2019-01-04,1.0,-0.5,0.0,0.0,1.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,1.0,-0.5,-0.5,1.0,177.6347264143137,177.6347264143137,173.43532389860889,174.6951446533203,65943521,0.024038632449577158,1
2330,2019-01-07,3.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.5,1.0,178.0546963830509,179.73445766968348,177.21481573973463,178.8945770263672,35442176,-0.009389855966823735,0
2330,2019-01-08,1.0,-0.5,0.0,0.0,1.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,1.0,-0.5,-0.2,1.0,178.05466320164396,178.47460344504407,176.37490222804354,177.21478271484375,22694481,0.02132685629382869,1
2330,2019-01-09,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.2,1.0,178.05463566968172,181.83409727587778,177.21475531274925,180.9942169189453,46295446,0.002320084487495322,1
2330,2019-01-10,1.0,-0.2,0.0,0.0,1.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.2,1.0,181.4141387939453,181.8340789300424,180.15431838565402,181.4141387939453,20754593,0.020833689049610582,1
2330,2019-01-11,1.0,0.2,1.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.2,1.0,183.93384370349702,185.19366455078125,183.09396313864087,185.19366455078125,28102288,-0.009070144383403589,0
2330,2019-01-14,3.0,-0.5,0.0,0.0,1.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,1.0,-0.1666666666666666,0.2,1.0,183.51393127441406,184.7737523129112,182.25411023591695,183.51393127441406,17612296,0.011441310629646262,1
2330,2019-01-15,1.0,0.2,1.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,-0.2,1.0,181.83410931065072,185.6135711669922,180.9942288981304,185.6135711669922,38882923,-0.015837152615618133,0
2330,2019-01-16,1.0,-0.2,0.0,0.0,1.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.2,1.0,183.51386108398438,184.773681640625,182.67398071289062,182.67398071289062,28978282,0.013793337332757893,1
2330,2019-01-17,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.2,1.0,183.09396313864087,185.61360483320934,183.09396313864087,185.19366455078125,21163986,-0.009070144383403589,0
2330,2019-01-18,1.0,0.1,1.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,-0.2,1.0,183.93387162057977,184.7737523129112,182.67405058208266,183.51393127441406,49627569,0.011441310629646262,1
2330,2019-01-21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.77369075447186,187.29333199203285,184.77369075447186,185.6135711669922,29384866,0.009049954165324392,1
2330,2019-01-22,1.0,0.2,1.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,-0.2,1.0,184.77372379046383,187.29336547851562,183.9338432277799,187.29336547851562,28926483,-0.011210759774484491,0
2330,2019-01-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0335451156374,186.45348539806548,184.7737242683532,185.19366455078125,16671213,0.009070144383403589,1
2330,2019-01-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.87339782714844,186.87339782714844,185.19363694780327,186.87339782714844,26417924,0.015730384786071028,1
2330,2019-01-25,1.0,0.3,1.0,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.2,1.0,190.23292852081028,190.65286876037055,188.97310780212942,189.81298828125,46692764,0.01327431849811056,1
2330,2019-01-28,3.0,-0.5,0.0,0.0,1.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,1.0,-0.1666666666666666,-0.5,1.0,192.75256657496288,192.75256657496288,191.49274587839452,192.33262634277344,26026257,-0.028384308057519125,0
2330,2019-01-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.87339782714844,188.97309892632987,186.45345760731215,186.87339782714844,41122520,-0.0067416051444708636,0
2330,2019-01-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.19363096073204,186.03351137325234,184.77369075447186,185.6135711669922,44755945,0.03167446964582066,1
2330,2019-02-11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.49278259277344,192.33266321818033,190.2329616546631,191.49278259277344,78307106,0.00877178373839449,1
2330,2019-02-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.17251586914062,193.17251586914062,192.33263536536174,193.17251586914062,29406670,-0.004347872794368657,0
2330,2019-02-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.8522677359102,194.8522677359102,191.91268611058396,192.33262634277344,28634925,-0.008733639351191758,0
2330,2019-02-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.75256367822053,193.172503904099,189.81298209707117,190.65286254882812,23647751,0.0,0
2330,2019-02-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.33262345234203,192.33262345234203,190.23292232294966,190.65286254882812,22369799,0.013215921789095475,1
2330,2019-02-18,3.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.2,1.0,192.33263536536174,193.59245612103004,191.9126951134723,193.17251586914062,16978916,-0.004347872794368657,0
2330,2019-02-19,1.0,0.1,1.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.2,1.0,193.17250680715236,193.5924470393418,192.33262634277344,192.33262634277344,16577023,0.02401736937879817,1
2330,2019-02-20,1.0,-0.3,0.0,0.0,1.0,0.0,0.0,-0.3,1.0,0.0,0.0,0.0,0.0,1.0,-0.3,-0.2,1.0,194.43230892091924,196.9519500732422,194.01236872886543,196.9519500732422,30479710,0.008529109909685362,1
2330,2019-02-21,1.0,0.2,1.0,0.0,0.0,0.2,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,-0.2,1.0,197.79189424736555,198.63177490234375,196.95201359238735,198.63177490234375,33764489,0.0,0
2330,2019-02-22,1.0,0.3,1.0,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.2,1.0,197.79189424736555,198.63177490234375,196.53207326489826,198.63177490234375,22032163,0.006342139201194197,1
2330,2019-02-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.47158508941908,200.73140562682593,198.21176455201223,199.8915252685547,24105138,0.006302551638763365,1
2330,2019-02-26,1.0,0.1,1.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.2,1.0,200.73141173679295,201.5712921206289,198.63171077720307,201.15135192871094,24522789,-0.002087591611856676,0
2330,2019-02-27,1.0,-0.1428571428571428,3.0,0.0,4.0,1.0,0.0,-2.0,7.0,0.4285714285714285,0.3333333333333333,0.0,0.0,0.5714285714285714,-0.5,-0.2428571428571428,7.0,200.31148982347307,201.15137028394884,199.0516691327594,200.73143005371094,35240889,-0.014644547547402631,0
2330,2019-03-04,5.0,-0.3,0.0,0.0,1.0,0.0,0.0,-0.3,1.0,0.0,0.0,0.0,0.0,1.0,-0.06,-0.2,1.0,201.15133025539907,201.15133025539907,196.9519287886893,197.79180908203125,39655513,-0.010615712235401809,0
2330,2019-03-05,1.0,0.1,1.0,0.0,2.0,0.8,0.0,-0.5,3.0,0.3333333333333333,0.8,0.0,0.0,0.6666666666666666,-0.25,0.3999999999999999,3.0,196.53198844680458,196.95192859305845,195.27216800804302,195.69210815429688,22641407,0.00429197065266429,1
2330,2019-03-06,1.0,-0.0333333333333333,2.0,0.0,1.0,0.5,0.0,-0.6,3.0,0.6666666666666666,0.25,0.0,0.0,0.3333333333333333,-0.6,1.8503717077085938e-17,3.0,197.37189333663028,197.79183353521884,196.11207274086456,196.53201293945312,20433226,0.0,0
2330,2019-03-07,1.0,0.0999999999999999,2.0,0.0,1.0,0.8,0.0,-0.5,3.0,0.6666666666666666,0.4,0.0,0.0,0.3333333333333333,-0.5,0.2666666666666666,3.0,197.37189333663028,197.37189333663028,195.69213254227597,196.53201293945312,17126192,-0.017093892338788996,0
2330,2019-03-08,1.0,-0.0999999999999999,4.0,0.0,5.0,2.4,0.0,-3.3,9.0,0.4444444444444444,0.6,0.0,0.0,0.5555555555555556,-0.6599999999999999,-0.1444444444444444,9.0,194.01239637291948,194.43233662480893,192.33263536536174,193.17251586914062,22190659,0.0021738969019460264,1
2330,2019-03-11,3.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0,-0.8,1.0,191.49275177730138,193.5924530029297,191.0728115321757,193.5924530029297,23200793,0.021691734434699406,1
2330,2019-03-12,1.0,0.2,2.0,0.0,0.0,0.4,0.0,0.0,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.35,2.0,195.69210834867636,199.05162952204418,195.27216820200536,197.79180908203125,23588085,0.0063694581995241695,1
2330,2019-03-13,1.0,-0.5,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,2.0,196.53199478342563,199.0516357421875,196.53199478342563,199.0516357421875,20500195,-0.010548447196208066,0
2330,2019-03-14,1.0,0.3666666666666667,2.0,0.0,1.0,1.3,0.0,-0.2,3.0,0.6666666666666666,0.65,0.0,0.0,0.3333333333333333,-0.2,0.1666666666666666,3.0,200.73141180172658,200.73141180172658,196.53200988118834,196.9519500732422,17175356,0.019189858130692405,1
2330,2019-03-15,1.0,0.325,4.0,0.0,0.0,1.3,0.0,0.0,4.0,1.0,0.325,0.0,0.0,0.0,0.0,0.5,4.0,199.0516691327594,201.15137028394884,197.79184844204573,200.73143005371094,33649729,0.008368291165389063,1
2330,2019-03-18,3.0,0.125,2.0,0.0,2.0,1.5,0.0,-1.0,4.0,0.5,0.25,0.0,0.0,0.5,-0.1666666666666666,0.625,4.0,201.15138830287822,202.4112091064453,200.73144803502254,202.4112091064453,26856532,-0.0020747486981181895,0
2330,2019-03-19,1.0,-0.6,0.0,0.0,2.0,0.0,0.0,-1.2,2.0,0.0,0.0,0.0,0.0,1.0,-0.6,-0.15,2.0,200.73143598592208,201.9912567138672,199.89155550062532,201.9912567138672,14479009,0.006236884522000441,1
2330,2019-03-20,1.0,0.0666666666666666,5.0,0.0,1.0,0.9,0.0,-0.5,6.0,0.8333333333333334,0.18,0.0,0.0,0.1666666666666666,-0.5,0.1166666666666666,6.0,203.2510528564453,203.2510528564453,201.15135189718453,203.2510528564453,22975971,0.014462929817966819,1
2330,2019-03-21,1.0,6.938893903907228e-18,5.0,0.0,3.0,1.3,0.0,-1.3,8.0,0.625,0.26,0.0,0.0,0.375,-0.4333333333333333,0.1875,8.0,203.6710171204235,206.19065856933594,202.41119639596727,206.19065856933594,26179502,0.012219868835071868,1
2330,2019-03-22,1.0,0.3125,6.0,0.0,2.0,3.5,0.0,-1.0,8.0,0.75,0.5833333333333334,0.0,0.0,0.25,-0.5,0.3375,8.0,208.29034116810234,208.7102813720703,205.3507597403267,208.7102813720703,22931467,-0.028169100580733963,0
2330,2019-03-25,3.0,0.26,3.0,0.0,2.0,2.3,0.0,-1.0,5.0,0.6,0.2555555555555555,0.0,0.0,0.4,-0.1666666666666666,0.28,5.0,201.99122013068347,204.51086113023462,201.99122013068347,202.8311004638672,19211254,0.010352193028088541,1
2330,2019-03-26,1.0,-0.0799999999999999,3.0,0.0,2.0,1.0,0.0,-1.4,5.0,0.6,0.3333333333333333,0.0,0.0,0.4,-0.7,-0.04,5.0,204.09096664678856,204.93084716796875,202.41120560442818,204.93084716796875,19920170,-0.010246123183107358,0
